Designator,Mid X,Mid Y,Rotation,Layer
C10,173.2,-78.5,90.0,top
C11,143.95,-74.5,180.0,top
C2,170.9,-87.1,270.0,top
C3,108.875,-72.4,0.0,top
C5,167.65,-86.65,180.0,top
C6,187.4,-78.95,180.0,top
C7,190.5,-78.65,90.0,top
C8,187.0,-82.5,270.0,top
C9,173.2,-86.45,270.0,top
D1,110.1,-74.9,180.0,top
D10,182.95,-68.4375,0.0,top
D11,136.5925,-68.44,0.0,top
D12,111.15,-95.5,180.0,top
D13,157.27,-95.5,180.0,top
D14,173.8,-65.6375,0.0,top
D15,127.4425,-65.64,0.0,top
D16,120.2925,-98.29,180.0,top
D17,166.42,-98.25,180.0,top
D18,171.97,-68.4375,0.0,top
D19,125.6425,-68.44,0.0,top
D2,117.3,-74.4,0.0,top
D20,122.08,-95.5,180.0,top
D21,168.25,-95.45,180.0,top
D22,162.8,-65.6375,0.0,top
D23,116.4425,-65.605,0.0,top
D24,131.33,-98.3,180.0,top
D25,177.4,-98.25,180.0,top
D26,160.97,-68.4375,0.0,top
D27,114.6425,-68.405,0.0,top
D28,133.13,-95.5125,180.0,top
D29,179.2,-95.45,180.0,top
D3,182.2,-75.6,180.0,top
D30,151.85,-65.6375,0.0,top
D31,105.4925,-65.615,0.0,top
D32,142.28,-98.3,180.0,top
D33,188.37,-98.25,180.0,top
D34,150.05,-68.4375,0.0,top
D35,103.6925,-68.415,0.0,top
D36,144.08,-95.5,180.0,top
D37,190.17,-95.45,180.0,top
D4,163.9,-83.8,90.0,top
D5,163.9,-80.2,270.0,top
D6,184.77,-65.6375,0.0,top
D7,138.3925,-65.64,0.0,top
D8,109.33,-98.3,180.0,top
D9,155.47,-98.3,180.0,top
F1,104.25,-75.05,0.0,top
J1,105.59,-82.0,0.0,top
J2,159.2,-84.5,90.0,top
J3,187.95,-42.5875,180.0,top
J4,106.17,-121.35,0.0,top
J5,141.58,-42.5775,180.0,top
J6,152.29,-121.35,0.0,top
K1,186.6275,-54.47,180.0,top
K10,118.3,-54.45,180.0,top
K11,129.45,-109.46,0.0,top
K12,175.5,-109.5,0.0,top
K13,153.7075,-54.4575,180.0,top
K14,107.35,-54.45,180.0,top
K15,140.4,-109.4875,0.0,top
K16,186.5,-109.5,0.0,top
K2,140.25,-54.46,180.0,top
K3,107.5,-109.5,0.0,top
K4,153.6,-109.5,0.0,top
K5,175.6575,-54.47,180.0,top
K6,129.3,-54.46,180.0,top
K7,118.5,-109.4875,0.0,top
K8,164.55,-109.5,0.0,top
K9,164.6575,-54.47,180.0,top
L1,179.35,-82.5,180.0,top
Q1,190.27,-65.7875,90.0,top
Q10,121.9425,-65.7775,90.0,top
Q11,125.83,-98.15,270.0,top
Q12,171.95,-98.1125,270.0,top
Q13,157.35,-65.7875,90.0,top
Q14,110.9925,-65.765,90.0,top
Q15,136.78,-98.1125,270.0,top
Q16,182.9,-98.1,270.0,top
Q2,143.8925,-65.79,90.0,top
Q3,103.83,-98.15,270.0,top
Q4,150.02,-98.1625,270.0,top
Q5,179.3,-65.7875,90.0,top
Q6,132.9425,-65.7775,90.0,top
Q7,114.83,-98.15,270.0,top
Q8,160.95,-98.1,270.0,top
Q9,168.3,-65.7875,90.0,top
R1,190.5,-86.825,90.0,top
R10,191.22,-69.2875,270.0,top
R11,141.8425,-69.265,90.0,top
R12,144.8425,-69.265,270.0,top
R13,105.88,-94.65,270.0,top
R14,102.88,-94.65,90.0,top
R15,152.07,-94.7,270.0,top
R16,149.07,-94.7,90.0,top
R17,189.72,-69.2875,90.0,top
R18,143.3425,-69.265,90.0,top
R19,104.38,-94.65,270.0,top
R2,189.0,-86.825,270.0,top
R20,150.57,-94.7,270.0,top
R21,177.25,-69.2875,90.0,top
R22,180.25,-69.2875,270.0,top
R23,130.8925,-69.265,90.0,top
R24,133.8925,-69.265,270.0,top
R25,116.88,-94.65,270.0,top
R26,113.88,-94.65,90.0,top
R27,163.0,-94.6,270.0,top
R28,160.0,-94.6,90.0,top
R29,178.75,-69.2875,90.0,top
R3,186.0,-86.825,90.0,top
R30,132.3925,-69.265,90.0,top
R31,115.38,-94.65,270.0,top
R32,161.5,-94.6,270.0,top
R33,166.25,-69.2875,90.0,top
R34,169.25,-69.2875,270.0,top
R35,119.8925,-69.255,90.0,top
R36,122.8925,-69.255,270.0,top
R37,127.88,-94.65,270.0,top
R38,124.88,-94.65,90.0,top
R39,174.02,-94.6,270.0,top
R4,187.5,-86.825,270.0,top
R40,171.0,-94.6,90.0,top
R41,167.75,-69.2875,90.0,top
R42,121.3925,-69.255,90.0,top
R43,126.38,-94.65,270.0,top
R44,172.5,-94.6,270.0,top
R45,155.32,-69.2875,90.0,top
R46,158.32,-69.2875,270.0,top
R47,108.9425,-69.265,90.0,top
R48,111.9425,-69.265,270.0,top
R49,138.88,-94.65,270.0,top
R5,131.7,-88.65,270.0,top
R50,135.88,-94.65,90.0,top
R51,184.95,-94.6,270.0,top
R52,181.95,-94.6,90.0,top
R53,156.82,-69.2875,90.0,top
R54,110.4425,-69.265,90.0,top
R55,137.38,-94.65,270.0,top
R56,183.45,-94.6,270.0,top
R6,133.2,-88.65,270.0,top
R7,134.7,-88.65,270.0,top
R8,130.2,-88.65,270.0,top
R9,188.22,-69.2875,90.0,top
SW1,129.92,-85.7675,90.0,top
U1,168.6,-81.2,90.0,top
U2,189.5,-82.5,90.0,top
U3,147.0,-82.0,270.0,top
